constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
minority,0.5701248277344892,0.35518724160173387,0.20512820512820512,195,999,3,3,10,1000
consensus,0.7150814716340409,0.5726222074510614,0.9896907216494846,97,999,3,3,11,1000
dissensus,0.6072478139941848,0.41087172099127717,0.3333333333333333,38,999,3,3,11,1000
majority,0.6917923281932726,0.537688492289909,0.7626262626262627,198,999,3,3,11,1000
minority,0.5731609034914875,0.3597413552372312,0.19696969696969696,198,999,3,3,11,1000
consensus,0.7078832099357097,0.5618248149035646,0.9523809523809523,105,999,3,3,12,1000
dissensus,0.6262046931670946,0.43930703975064195,0.3333333333333333,38,999,3,3,12,1000
majority,0.6748030727341151,0.5122046091011726,0.7526315789473684,190,999,3,3,12,1000
minority,0.6178742289118339,0.42681134336775073,0.21052631578947367,190,999,3,3,12,1000
consensus,0.6903445343630403,0.5355168015445605,0.9603960396039604,101,999,3,3,13,1000
dissensus,0.6217787744556523,0.43266816168347855,0.3333333333333333,34,999,3,3,13,1000
majority,0.6897509408736859,0.5346264113105288,0.7929292929292929,198,999,3,3,13,1000
minority,0.57826406035889,0.36739609053833505,0.18181818181818182,198,999,3,3,13,1000
consensus,0.7023340964243662,0.5535011446365493,0.946236559139785,93,999,3,3,14,1000
dissensus,0.6316421114380419,0.447463167157063,0.3333333333333333,32,999,3,3,14,1000
majority,0.6869543676409358,0.5304315514614035,0.7355769230769231,208,999,3,3,14,1000
minority,0.5879868649383589,0.38198029740753836,0.22115384615384615,208,999,3,3,14,1000
consensus,0.7168234595485125,0.5752351893227687,0.9591836734693877,98,999,3,3,15,1000
dissensus,0.6265277221319508,0.43979158319792633,0.3333333333333333,49,999,3,3,15,1000
majority,0.6794075669598095,0.5191113504397142,0.7741935483870968,186,999,3,3,15,1000
minority,0.58219997426762,0.37329996140143007,0.15053763440860216,186,999,3,3,15,1000
consensus,0.6979966730737072,0.5469950096105608,0.9807692307692307,104,999,3,3,16,1000
dissensus,0.604931764826351,0.4073976472395266,0.3333333333333333,36,999,3,3,16,1000
majority,0.6785524100039496,0.5178286150059244,0.7305699481865285,193,999,3,3,16,1000
minority,0.584835135933681,0.3772527039005214,0.22279792746113988,193,999,3,3,16,1000
consensus,0.7212315546053725,0.5818473319080586,0.9532710280373832,107,999,3,3,17,1000
dissensus,0.5968177311604248,0.39522659674063715,0.3333333333333333,32,999,3,3,17,1000
majority,0.6882526274111211,0.5323789411166817,0.7525773195876289,194,999,3,3,17,1000
minority,0.5944607879620852,0.3916911819431278,0.20103092783505155,194,999,3,3,17,1000
consensus,0.727450848902897,0.5911762733543455,0.9894736842105263,95,999,3,3,18,1000
dissensus,0.6095317912385404,0.41429768685781054,0.3333333333333333,34,999,3,3,18,1000
majority,0.6722950762582127,0.5084426143873191,0.7205882352941176,204,999,3,3,18,1000
minority,0.59653318895094,0.39479978342641003,0.23529411764705882,204,999,3,3,18,1000
consensus,0.7227443174138252,0.5841164761207377,0.96,100,999,3,3,19,1000
dissensus,0.6067659339272521,0.41014890089087813,0.3333333333333333,40,999,3,3,19,1000
majority,0.6984434786199597,0.5476652179299396,0.7875647668393783,193,999,3,3,19,1000
minority,0.5671448703309994,0.3507173054964991,0.16062176165803108,193,999,3,3,19,1000
consensus,0.7006691189925041,0.551003678488756,0.9622641509433962,106,999,3,3,20,1000
dissensus,0.6047477229553677,0.4071215844330515,0.3333333333333333,43,999,3,3,20,1000
majority,0.6835578483250161,0.5253367724875242,0.7554347826086957,184,999,3,3,20,1000
minority,0.5843252328863922,0.3764878493295882,0.1956521739130435,184,999,3,3,20,1000
consensus,0.7252611202321004,0.5878916803481505,0.9754098360655737,122,999,3,3,21,1000
dissensus,0.5698443323483952,0.3547664985225927,0.3333333333333333,31,999,3,3,21,1000
majority,0.6836927072761615,0.5255390609142423,0.7777777777777778,180,999,3,3,21,1000
minority,0.5719547057136273,0.35793205857044086,0.18888888888888888,180,999,3,3,21,1000
consensus,0.711843973512246,0.567765960268369,0.98989898989899,99,999,3,3,22,1000
dissensus,0.6136570053692494,0.420485508053874,0.3333333333333333,35,999,3,3,22,1000
majority,0.6723493344545945,0.5085240016818918,0.7638190954773869,199,999,3,3,22,1000
minority,0.5949995214224074,0.3924992821336111,0.20100502512562815,199,999,3,3,22,1000
consensus,0.7093298555596768,0.5639947833395151,0.9795918367346939,98,999,3,3,23,1000
dissensus,0.6237992058761792,0.43569880881426876,0.3333333333333333,31,999,3,3,23,1000
majority,0.6762883502025967,0.514432525303895,0.7696078431372549,204,999,3,3,23,1000
minority,0.591064186928812,0.38659628039321814,0.1715686274509804,204,999,3,3,23,1000
consensus,0.7252446417970997,0.5878669626956496,0.96,100,999,3,3,24,1000
dissensus,0.6330068792339123,0.4495103188508685,0.3333333333333333,27,999,3,3,24,1000
majority,0.6779170633285401,0.51687559499281,0.7766990291262136,206,999,3,3,24,1000
minority,0.5879383474583874,0.381907521187581,0.1650485436893204,206,999,3,3,24,1000
consensus,0.6975265201842298,0.5462897802763447,0.9722222222222222,108,999,3,3,25,1000
dissensus,0.5958989930743224,0.39384848961148355,0.3333333333333333,21,999,3,3,25,1000
majority,0.6752682907808895,0.5129024361713342,0.7352941176470589,204,999,3,3,25,1000
minority,0.6118936213889933,0.41784043208348987,0.2107843137254902,204,999,3,3,25,1000
consensus,0.7294280746885177,0.5941421120327764,0.9795918367346939,98,999,3,3,26,1000
dissensus,0.6368120695405182,0.45521810431077725,0.3333333333333333,35,999,3,3,26,1000
majority,0.6804214299392576,0.5206321449088864,0.745,200,999,3,3,26,1000
minority,0.5619364527550836,0.34290467913262546,0.185,200,999,3,3,26,1000
consensus,0.7056870160236586,0.5585305240354879,0.9805825242718447,103,999,3,3,27,1000
dissensus,0.6056196919236637,0.4084295378854956,0.3333333333333333,38,999,3,3,27,1000
majority,0.6904173881165561,0.5356260821748341,0.7760416666666666,192,999,3,3,27,1000
minority,0.5910067391725736,0.3865101087588604,0.17708333333333334,192,999,3,3,27,1000
consensus,0.7157394667041063,0.5736092000561593,0.9595959595959596,99,999,3,3,28,1000
dissensus,0.6024271489913461,0.4036407234870192,0.3333333333333333,38,999,3,3,28,1000
majority,0.686444611115964,0.529666916673946,0.7244897959183674,196,999,3,3,28,1000
minority,0.6072541845053258,0.4108812767579886,0.22959183673469388,196,999,3,3,28,1000
consensus,0.7176301861919537,0.5764452792879305,0.9801980198019802,101,999,3,3,29,1000
dissensus,0.581523875962349,0.37228581394352345,0.3333333333333333,46,999,3,3,29,1000
majority,0.692956803296025,0.5394352049440376,0.7634408602150538,186,999,3,3,29,1000
minority,0.5944534689304837,0.39168020339572546,0.1989247311827957,186,999,3,3,29,1000
consensus,0.7292992093318696,0.5939488139978044,1,97,999,3,3,30,1000
dissensus,0.6055778856478432,0.4083668284717648,0.3333333333333333,29,999,3,3,30,1000
majority,0.6743260788830259,0.5114891183245388,0.7632850241545893,207,999,3,3,30,1000
minority,0.5820369184978499,0.3730553777467748,0.18357487922705315,207,999,3,3,30,1000
consensus,0.7106469249665633,0.565970387449845,0.9540229885057471,87,999,3,3,31,1000
dissensus,0.6036193181776949,0.40542897726654226,0.3333333333333333,38,999,3,3,31,1000
majority,0.6862952240115145,0.5294428360172718,0.7740384615384616,208,999,3,3,31,1000
minority,0.5858638700111232,0.3787958050166848,0.16826923076923078,208,999,3,3,31,1000
consensus,0.7141709521409714,0.5712564282114572,0.9595959595959596,99,999,3,3,32,1000
dissensus,0.5877545453634456,0.3816318180451685,0.3333333333333333,47,999,3,3,32,1000
majority,0.6740543699587584,0.5110815549381377,0.7165775401069518,187,999,3,3,32,1000
minority,0.5747547011163398,0.3621320516745097,0.20320855614973263,187,999,3,3,32,1000
consensus,0.7110849641245447,0.5666274461868172,0.963302752293578,109,999,3,3,33,1000
dissensus,0.6132211514528737,0.4198317271793106,0.3333333333333333,40,999,3,3,33,1000
majority,0.6955654532150906,0.5433481798226358,0.7934782608695652,184,999,3,3,33,1000
minority,0.6070547610296922,0.4105821415445383,0.16847826086956522,184,999,3,3,33,1000
consensus,0.7295930141765566,0.594389521264835,0.967741935483871,93,999,3,3,34,1000
dissensus,0.6087195521930944,0.4130793282896415,0.3333333333333333,37,999,3,3,34,1000
majority,0.692548556900958,0.5388228353514369,0.8029556650246306,203,999,3,3,34,1000
minority,0.5975360345907436,0.3963040518861154,0.1724137931034483,203,999,3,3,34,1000
consensus,0.734057950583735,0.6010869258756026,0.9777777777777777,90,999,3,3,35,1000
dissensus,0.617045980305423,0.42556897045813447,0.3333333333333333,43,999,3,3,35,1000
majority,0.6780881236008524,0.5171321854012786,0.79,200,999,3,3,35,1000
minority,0.5861014208818476,0.37915213132277137,0.155,200,999,3,3,35,1000
consensus,0.7218124253877279,0.5827186380815919,0.9805825242718447,103,999,3,3,36,1000
dissensus,0.6086412968270908,0.41296194524063623,0.3333333333333333,31,999,3,3,36,1000
majority,0.6850287642390772,0.5275431463586159,0.7537688442211056,199,999,3,3,36,1000
minority,0.5920330765376326,0.38804961480644895,0.19095477386934673,199,999,3,3,36,1000
consensus,0.7052186406628536,0.5578279609942803,0.9719626168224299,107,999,3,3,37,1000
dissensus,0.6152561950083408,0.42288429251251125,0.3333333333333333,48,999,3,3,37,1000
majority,0.6558801461275395,0.48382021919130924,0.7471910112359551,178,999,3,3,37,1000
minority,0.6143306078736354,0.421495911810453,0.20786516853932585,178,999,3,3,37,1000
consensus,0.7223671019585296,0.5835506529377943,0.9818181818181818,110,999,3,3,38,1000
dissensus,0.6252985927966183,0.43794788919492733,0.3333333333333333,30,999,3,3,38,1000
majority,0.6780193198672521,0.517028979800878,0.7305699481865285,193,999,3,3,38,1000
minority,0.6088744968027906,0.4133117452041859,0.21243523316062177,193,999,3,3,38,1000
consensus,0.7226864180001603,0.5840296270002404,0.96875,96,999,3,3,39,1000
dissensus,0.6360510151843152,0.4540765227764727,0.3333333333333333,42,999,3,3,39,1000
majority,0.6896233597451933,0.5344350396177899,0.7692307692307693,195,999,3,3,39,1000
minority,0.5918847902614274,0.387827185392141,0.18461538461538463,195,999,3,3,39,1000
consensus,0.726690088958123,0.5900351334371846,0.9888888888888889,90,999,3,3,40,1000
dissensus,0.6000704126435582,0.40010561896533725,0.3333333333333333,34,999,3,3,40,1000
majority,0.6818321238103303,0.5227481857154955,0.7511961722488039,209,999,3,3,40,1000
minority,0.5821571515886443,0.3732357273829664,0.19138755980861244,209,999,3,3,40,1000
consensus,0.7319770775637178,0.5979656163455767,0.9795918367346939,98,999,3,3,41,1000
dissensus,0.5994695327712825,0.3992042991569236,0.3333333333333333,42,999,3,3,41,1000
majority,0.6742603099391843,0.5113904649087764,0.772020725388601,193,999,3,3,41,1000
minority,0.5855826976200782,0.37837404643011724,0.16062176165803108,193,999,3,3,41,1000
consensus,0.7214052135061281,0.582107820259192,0.9405940594059405,101,999,3,3,42,1000
dissensus,0.6021204999047849,0.4031807498571774,0.3333333333333333,25,999,3,3,42,1000
majority,0.6961425134642935,0.5442137701964402,0.7922705314009661,207,999,3,3,42,1000
minority,0.5819569573514224,0.3729354360271335,0.15458937198067632,207,999,3,3,42,1000
consensus,0.7210910211458631,0.5816365317187946,0.9504950495049505,101,999,3,3,43,1000
dissensus,0.6038338082255339,0.4057507123383008,0.3333333333333333,43,999,3,3,43,1000
majority,0.6773438501694097,0.5160157752541146,0.783068783068783,189,999,3,3,43,1000
minority,0.5725159279565201,0.3587738919347801,0.164021164021164,189,999,3,3,43,1000
consensus,0.6870051017163065,0.5305076525744596,0.9693877551020408,98,999,3,3,44,1000
dissensus,0.6240058849832555,0.4360088274748833,0.3333333333333333,38,999,3,3,44,1000
majority,0.6773484416511667,0.51602266247675,0.8071065989847716,197,999,3,3,44,1000
minority,0.5941331875408085,0.39119978131121264,0.13705583756345177,197,999,3,3,44,1000
consensus,0.7130776736749427,0.569616510512414,0.9696969696969697,99,999,3,3,45,1000
dissensus,0.607108376767726,0.410662565151589,0.3333333333333333,38,999,3,3,45,1000
majority,0.6989590613639496,0.5484385920459244,0.8010204081632653,196,999,3,3,45,1000
minority,0.57192725300168,0.35789087950251997,0.14285714285714285,196,999,3,3,45,1000
consensus,0.7332067847866747,0.599810177180012,0.9514563106796117,103,999,3,3,46,1000
dissensus,0.5885851431401476,0.3828777147102215,0.3333333333333333,35,999,3,3,46,1000
majority,0.6662205359902488,0.49933080398537316,0.7230769230769231,195,999,3,3,46,1000
minority,0.602825058839865,0.40423758825979744,0.2512820512820513,195,999,3,3,46,1000
consensus,0.7206588996179393,0.5809883494269089,0.9540229885057471,87,999,3,3,47,1000
dissensus,0.5755224326973275,0.3632836490459913,0.3333333333333333,36,999,3,3,47,1000
majority,0.6876256511117967,0.5314384766676952,0.7761904761904762,210,999,3,3,47,1000
minority,0.593058208527694,0.3895873127915409,0.1761904761904762,210,999,3,3,47,1000
consensus,0.7133880082646429,0.5700820123969643,0.9797979797979798,99,999,3,3,48,1000
dissensus,0.6126278796573243,0.4189418194859866,0.3333333333333333,35,999,3,3,48,1000
majority,0.6816279348188784,0.5224419022283175,0.7788944723618091,199,999,3,3,48,1000
minority,0.5913078772696593,0.38696181590448897,0.1658291457286432,199,999,3,3,48,1000
consensus,0.7093677690346442,0.5640516535519662,0.9479166666666666,96,999,3,3,49,1000
dissensus,0.6028042210153106,0.404206331522966,0.3333333333333333,44,999,3,3,49,1000
majority,0.6732896705675189,0.5099345058512783,0.7409326424870466,193,999,3,3,49,1000
minority,0.5839213767050346,0.3758820650575519,0.23316062176165803,193,999,3,3,49,1000
consensus,0.7356845873691229,0.6035268810536843,0.968421052631579,95,999,3,3,50,1000
dissensus,0.6123745901584035,0.4185618852376051,0.3333333333333333,35,999,3,3,50,1000
majority,0.6692326854331777,0.5038490281497665,0.7487684729064039,203,999,3,3,50,1000
minority,0.6021570931387566,0.40323563970813503,0.21182266009852216,203,999,3,3,50,1000
consensus,0.7139576658237715,0.5709364987356572,0.9487179487179487,78,999,3,3,51,1000
dissensus,0.6332714768428241,0.44990721526423616,0.3333333333333333,47,999,3,3,51,1000
majority,0.6932471371677448,0.5398707057516172,0.7596153846153846,208,999,3,3,51,1000
minority,0.595071053461512,0.39260658019226796,0.20192307692307693,208,999,3,3,51,1000
consensus,0.6976325202051249,0.5464487803076874,0.9545454545454546,110,999,3,3,52,1000
dissensus,0.6424551565844491,0.46368273487667355,0.3333333333333333,44,999,3,3,52,1000
majority,0.6781353733343639,0.5172030600015459,0.7486033519553073,179,999,3,3,52,1000
minority,0.5965162355581115,0.3947743533371672,0.19553072625698323,179,999,3,3,52,1000
consensus,0.718575908528227,0.5778638627923404,0.9636363636363636,110,999,3,3,53,1000
dissensus,0.6256215816357605,0.43843237245364086,0.3333333333333333,34,999,3,3,53,1000
majority,0.6877485555678777,0.5316228333518166,0.8042328042328042,189,999,3,3,53,1000
minority,0.5960925390444551,0.3941388085666827,0.14814814814814814,189,999,3,3,53,1000
consensus,0.7090451137249502,0.5635676705874252,0.9494949494949495,99,999,3,3,54,1000
dissensus,0.6001650534483983,0.4002475801725976,0.3333333333333333,30,999,3,3,54,1000
majority,0.682643910831151,0.5239658662467264,0.7892156862745098,204,999,3,3,54,1000
minority,0.5898097735895088,0.38471466038426316,0.1715686274509804,204,999,3,3,54,1000
consensus,0.7181958629460152,0.5772937944190228,0.9473684210526315,114,999,3,3,55,1000
dissensus,0.5872698905377058,0.3809048358065587,0.3333333333333333,31,999,3,3,55,1000
majority,0.693139313048921,0.5397089695733814,0.7712765957446809,188,999,3,3,55,1000
minority,0.609222594415769,0.41383389162365347,0.19680851063829788,188,999,3,3,55,1000
consensus,0.7026989443434609,0.5540484165151915,0.9204545454545454,88,999,3,3,56,1000
dissensus,0.6189844216634002,0.4284766324951003,0.3333333333333333,48,999,3,3,56,1000
majority,0.683442842362247,0.5251642635433702,0.8020304568527918,197,999,3,3,56,1000
minority,0.5953487045353818,0.39302305680307265,0.18274111675126903,197,999,3,3,56,1000
consensus,0.7225789627442212,0.5838684441163318,0.9690721649484536,97,999,3,3,57,1000
dissensus,0.6155826183032632,0.42337392745489477,0.3333333333333333,31,999,3,3,57,1000
majority,0.691085693171263,0.5366285397568945,0.8097560975609757,205,999,3,3,57,1000
minority,0.582649542123261,0.37397431318489155,0.14146341463414633,205,999,3,3,57,1000
consensus,0.7161931969036018,0.5742897953554028,0.9811320754716981,106,999,3,3,58,1000
dissensus,0.6191132928282138,0.42866993924232066,0.3333333333333333,36,999,3,3,58,1000
majority,0.6932689889771361,0.539903483465704,0.7958115183246073,191,999,3,3,58,1000
minority,0.5801787739164517,0.37026816087467745,0.16230366492146597,191,999,3,3,58,1000
consensus,0.7048718805332549,0.5573078207998824,0.9607843137254902,102,999,3,3,59,1000
dissensus,0.574938724463385,0.36240808669507746,0.3333333333333333,31,999,3,3,59,1000
majority,0.6866277700825595,0.5299416551238392,0.78,200,999,3,3,59,1000
minority,0.5722307414111371,0.35834611211670564,0.185,200,999,3,3,59,1000
consensus,0.705518139818397,0.5582772097275953,0.9191919191919192,99,999,3,3,60,1000
dissensus,0.6056305419841552,0.4084458129762329,0.3333333333333333,38,999,3,3,60,1000
majority,0.7069142827060119,0.5603714240590177,0.8163265306122449,196,999,3,3,60,1000
minority,0.5756015508422996,0.3634023262634493,0.12244897959183673,196,999,3,3,60,1000
consensus,0.731638284618801,0.5974574269282015,0.979381443298969,97,999,3,3,61,1000
dissensus,0.5937687158652082,0.39065307379781233,0.3333333333333333,46,999,3,3,61,1000
majority,0.6772101908166518,0.5158152862249776,0.7263157894736842,190,999,3,3,61,1000
minority,0.5804369086179099,0.37065536292686474,0.2,190,999,3,3,61,1000
consensus,0.7191153935095479,0.5786730902643218,0.941747572815534,103,999,3,3,62,1000
dissensus,0.6256995782071803,0.4385493673107704,0.3333333333333333,32,999,3,3,62,1000
majority,0.6697101309320886,0.504565196398133,0.7575757575757576,198,999,3,3,62,1000
minority,0.588280509255814,0.38242076388372087,0.1919191919191919,198,999,3,3,62,1000
consensus,0.7283969686699161,0.5925954530048743,0.970873786407767,103,999,3,3,63,1000
dissensus,0.6127646318545529,0.4191469477818293,0.3333333333333333,34,999,3,3,63,1000
majority,0.694520974904378,0.541781462356567,0.7653061224489796,196,999,3,3,63,1000
minority,0.6026471608982035,0.40397074134730526,0.19387755102040816,196,999,3,3,63,1000
consensus,0.7155591998871363,0.5733387998307046,0.9770114942528736,87,999,3,3,64,1000
dissensus,0.5992795592036975,0.39891933880554625,0.3333333333333333,34,999,3,3,64,1000
majority,0.6961354346339644,0.5442031519509466,0.7735849056603774,212,999,3,3,64,1000
minority,0.5763390531694611,0.3645085797541916,0.16037735849056603,212,999,3,3,64,1000
consensus,0.713985811944844,0.5709787179172661,0.9519230769230769,104,999,3,3,65,1000
dissensus,0.6386163982634361,0.45792459739515423,0.3333333333333333,26,999,3,3,65,1000
majority,0.691762275695235,0.5376434135428525,0.7881773399014779,203,999,3,3,65,1000
minority,0.5864874295735876,0.37973114436038136,0.17733990147783252,203,999,3,3,65,1000
consensus,0.7253750594120157,0.5880625891180237,0.9908256880733946,109,999,3,3,66,1000
dissensus,0.6251759215368597,0.4377638823052897,0.3333333333333333,44,999,3,3,66,1000
majority,0.6743329491690492,0.5114994237535737,0.7,180,999,3,3,66,1000
minority,0.5910061877746894,0.3865092816620341,0.22777777777777777,180,999,3,3,66,1000
consensus,0.7169817058367686,0.5754725587551529,0.9734513274336283,113,999,3,3,67,1000
dissensus,0.6275131736991105,0.44126976054866573,0.3333333333333333,37,999,3,3,67,1000
majority,0.6857168763712259,0.5285753145568388,0.7704918032786885,183,999,3,3,67,1000
minority,0.6090090290985948,0.4135135436478921,0.16939890710382513,183,999,3,3,67,1000
consensus,0.7157366345200841,0.573604951780126,0.9789473684210527,95,999,3,3,68,1000
dissensus,0.6177992016682706,0.4266988025024059,0.3333333333333333,34,999,3,3,68,1000
majority,0.685349087173034,0.528023630759551,0.75,204,999,3,3,68,1000
minority,0.6110913798919106,0.4166370698378659,0.22058823529411764,204,999,3,3,68,1000
consensus,0.6939747671084479,0.5409621506626718,0.99,100,999,3,3,69,1000
dissensus,0.6366573630964163,0.4549860446446244,0.3333333333333333,29,999,3,3,69,1000
majority,0.6750668002596107,0.512600200389416,0.7401960784313726,204,999,3,3,69,1000
minority,0.5926888733493542,0.38903331002403124,0.20588235294117646,204,999,3,3,69,1000
consensus,0.7191969040728096,0.5787953561092143,1,109,999,3,3,70,1000
dissensus,0.61114843806686,0.41672265710028994,0.3333333333333333,41,999,3,3,70,1000
majority,0.6706200207105222,0.5059300310657834,0.73224043715847,183,999,3,3,70,1000
minority,0.56796422070028,0.35194633105042,0.20765027322404372,183,999,3,3,70,1000
consensus,0.7022047636347513,0.5533071454521269,0.96,100,999,3,3,71,1000
dissensus,0.5974738252590652,0.39621073788859784,0.3333333333333333,30,999,3,3,71,1000
majority,0.6756129462573195,0.5134194193859791,0.7783251231527094,203,999,3,3,71,1000
minority,0.5792312537662514,0.3688468806493771,0.17733990147783252,203,999,3,3,71,1000
consensus,0.720096710695722,0.580145066043583,0.9519230769230769,104,999,3,3,72,1000
dissensus,0.611501326328926,0.4172519894933889,0.3333333333333333,41,999,3,3,72,1000
majority,0.679770821571294,0.5196562323569409,0.776595744680851,188,999,3,3,72,1000
minority,0.5874937830743849,0.3812406746115774,0.18617021276595744,188,999,3,3,72,1000
consensus,0.6910059027209112,0.5365088540813668,0.956989247311828,93,999,3,3,73,1000
dissensus,0.6258999226632079,0.438849883994812,0.3333333333333333,36,999,3,3,73,1000
majority,0.6800761760739014,0.520114264110852,0.7352941176470589,204,999,3,3,73,1000
minority,0.5940640384332867,0.3910960576499301,0.22549019607843138,204,999,3,3,73,1000
consensus,0.727498278559114,0.591247417838671,0.978021978021978,91,999,3,3,74,1000
dissensus,0.5950430059066711,0.3925645088600067,0.3333333333333333,43,999,3,3,74,1000
majority,0.6836973470331512,0.5255460205497268,0.7738693467336684,199,999,3,3,74,1000
minority,0.6111115253634963,0.4166672880452445,0.18592964824120603,199,999,3,3,74,1000
consensus,0.718384132108188,0.577576198162282,0.970873786407767,103,999,3,3,75,1000
dissensus,0.5993195205296158,0.39897928079442374,0.3333333333333333,42,999,3,3,75,1000
majority,0.6843464569958978,0.5265196854938466,0.776595744680851,188,999,3,3,75,1000
minority,0.5829804003526001,0.3744706005289002,0.17553191489361702,188,999,3,3,75,1000
consensus,0.7112730723177034,0.5669096084765551,0.9811320754716981,106,999,3,3,76,1000
dissensus,0.5985425062770783,0.3978137594156174,0.3333333333333333,30,999,3,3,76,1000
majority,0.6927973842031643,0.5391960763047464,0.7411167512690355,197,999,3,3,76,1000
minority,0.6158034299081113,0.4237051448621669,0.22842639593908629,197,999,3,3,76,1000
consensus,0.7152628089865383,0.5728942134798073,0.9634146341463414,82,999,3,3,77,1000
dissensus,0.6368381900716081,0.45525728510741226,0.3333333333333333,32,999,3,3,77,1000
majority,0.6766818051826765,0.5150227077740148,0.7214611872146118,219,999,3,3,77,1000
minority,0.5679537183442118,0.3519305775163176,0.228310502283105,219,999,3,3,77,1000
consensus,0.694448479716808,0.541672719575212,0.9646017699115044,113,999,3,3,78,1000
dissensus,0.5907201800648143,0.38608027009722146,0.3333333333333333,42,999,3,3,78,1000
majority,0.6851668782411876,0.5277503173617814,0.7471910112359551,178,999,3,3,78,1000
minority,0.5789868726982815,0.36848030904742235,0.20786516853932585,178,999,3,3,78,1000
consensus,0.7322623922723777,0.5983935884085664,0.9894736842105263,95,999,3,3,79,1000
dissensus,0.60540834648023,0.40811251972034507,0.3333333333333333,36,999,3,3,79,1000
majority,0.6920830001078682,0.5381245001618022,0.8118811881188119,202,999,3,3,79,1000
minority,0.60207858011772,0.4031178701765799,0.16336633663366337,202,999,3,3,79,1000
consensus,0.720721680060443,0.5810825200906645,0.95,100,999,3,3,80,1000
dissensus,0.6194840626973572,0.4292260940460358,0.3333333333333333,38,999,3,3,80,1000
majority,0.6853563810237007,0.5280345715355511,0.7384615384615385,195,999,3,3,80,1000
minority,0.5683208971570891,0.3524813457356336,0.21025641025641026,195,999,3,3,80,1000
consensus,0.7036866718378392,0.5555300077567588,0.9489795918367347,98,999,3,3,81,1000
dissensus,0.5962435448368202,0.3943653172552304,0.3333333333333333,44,999,3,3,81,1000
majority,0.6889906609365896,0.5334859914048844,0.7643979057591623,191,999,3,3,81,1000
